Date,Player,Country,Points
1971-02,Alan Connolly,Australia,90
1971-02,Alan Knott,England,151
1971-02,Alan Thomson,Australia,85
1971-02,Ashley Mallett,Australia,99
1971-02,Basil D'Oliveira,England,134
1971-02,Bill Lawry,Australia,147
1971-02,Doug Walters,Australia,229
1971-02,Graham McKenzie,Australia,95
1971-02,Greg Chappell,Australia,139
1971-02,Ian Chappell,Australia,242
1971-02,Ian Redpath,Australia,86
1971-02,John Edrich,England,246
1971-02,John Hampshire,England,65
1971-02,Keith Fletcher,England,134
1971-02,Keith Stackpole,Australia,94
1971-03,Alan Connolly,Australia,90
1971-03,Alan Knott,England,151
1971-03,Alan Thomson,Australia,85
1971-03,Ashley Mallett,Australia,99
1971-03,Basil D'Oliveira,England,134
1971-03,Bill Lawry,Australia,147
1971-03,Doug Walters,Australia,229
1971-03,Graham McKenzie,Australia,95
1971-03,Greg Chappell,Australia,139
1971-03,Ian Chappell,Australia,242
1971-03,Ian Redpath,Australia,86
1971-03,John Edrich,England,246
1971-03,John Hampshire,England,65
1971-03,Keith Fletcher,England,134
1971-03,Keith Stackpole,Australia,94
1971-04,Alan Connolly,Australia,90
1971-04,Alan Knott,England,151
1971-04,Alan Thomson,Australia,85
1971-04,Ashley Mallett,Australia,99
1971-04,Basil D'Oliveira,England,134
1971-04,Bill Lawry,Australia,147
1971-04,Doug Walters,Australia,229
1971-04,Graham McKenzie,Australia,95
1971-04,Greg Chappell,Australia,139
1971-04,Ian Chappell,Australia,242
1971-04,Ian Redpath,Australia,86
1971-04,John Edrich,England,246
1971-04,John Hampshire,England,65
1971-04,Keith Fletcher,England,134
1971-04,Keith Stackpole,Australia,94
1971-05,Alan Connolly,Australia,90
1971-05,Alan Knott,England,151
1971-05,Alan Thomson,Australia,85
1971-05,Ashley Mallett,Australia,99
1971-05,Basil D'Oliveira,England,134
1971-05,Bill Lawry,Australia,147
1971-05,Doug Walters,Australia,229
1971-05,Graham McKenzie,Australia,95
1971-05,Greg Chappell,Australia,139
1971-05,Ian Chappell,Australia,242
1971-05,Ian Redpath,Australia,86
1971-05,John Edrich,England,246
1971-05,John Hampshire,England,65
1971-05,Keith Fletcher,England,134
1971-05,Keith Stackpole,Australia,94
1971-06,Alan Connolly,Australia,90
1971-06,Alan Knott,England,151
1971-06,Alan Thomson,Australia,85
1971-06,Ashley Mallett,Australia,99
1971-06,Basil D'Oliveira,England,134
1971-06,Bill Lawry,Australia,147
1971-06,Doug Walters,Australia,229
1971-06,Graham McKenzie,Australia,95
1971-06,Greg Chappell,Australia,139
1971-06,Ian Chappell,Australia,242
1971-06,Ian Redpath,Australia,86
1971-06,John Edrich,England,246
1971-06,John Hampshire,England,65
1971-06,Keith Fletcher,England,134
1971-06,Keith Stackpole,Australia,94
1971-07,Alan Connolly,Australia,90
1971-07,Alan Knott,England,151
1971-07,Alan Thomson,Australia,85
1971-07,Ashley Mallett,Australia,99
1971-07,Basil D'Oliveira,England,134
1971-07,Bill Lawry,Australia,147
1971-07,Doug Walters,Australia,229
1971-07,Graham McKenzie,Australia,95
1971-07,Greg Chappell,Australia,139
1971-07,Ian Chappell,Australia,242
1971-07,Ian Redpath,Australia,86
1971-07,John Edrich,England,246
1971-07,John Hampshire,England,65
1971-07,Keith Fletcher,England,134
1971-07,Keith Stackpole,Australia,94
1971-08,Alan Connolly,Australia,90
1971-08,Alan Knott,England,151
1971-08,Alan Thomson,Australia,85
1971-08,Ashley Mallett,Australia,99
1971-08,Basil D'Oliveira,England,134
1971-08,Bill Lawry,Australia,147
1971-08,Doug Walters,Australia,229
1971-08,Graham McKenzie,Australia,95
1971-08,Greg Chappell,Australia,139
1971-08,Ian Chappell,Australia,242
1971-08,Ian Redpath,Australia,86
1971-08,John Edrich,England,246
1971-08,John Hampshire,England,65
1971-08,Keith Fletcher,England,134
1971-08,Keith Stackpole,Australia,94
1971-09,Alan Connolly,Australia,90
1971-09,Alan Knott,England,151
1971-09,Alan Thomson,Australia,85
1971-09,Ashley Mallett,Australia,99
1971-09,Basil D'Oliveira,England,134
1971-09,Bill Lawry,Australia,147
1971-09,Doug Walters,Australia,229
1971-09,Graham McKenzie,Australia,95
1971-09,Greg Chappell,Australia,139
1971-09,Ian Chappell,Australia,242
1971-09,Ian Redpath,Australia,86
1971-09,John Edrich,England,246
1971-09,John Hampshire,England,65
1971-09,Keith Fletcher,England,134
1971-09,Keith Stackpole,Australia,94
1971-10,Alan Connolly,Australia,90
1971-10,Alan Knott,England,151
1971-10,Alan Thomson,Australia,85
1971-10,Ashley Mallett,Australia,99
1971-10,Basil D'Oliveira,England,134
1971-10,Bill Lawry,Australia,147
1971-10,Doug Walters,Australia,229
1971-10,Graham McKenzie,Australia,95
1971-10,Greg Chappell,Australia,139
1971-10,Ian Chappell,Australia,242
1971-10,Ian Redpath,Australia,86
1971-10,John Edrich,England,246
1971-10,John Hampshire,England,65
1971-10,Keith Fletcher,England,134
1971-10,Keith Stackpole,Australia,94
1971-11,Alan Connolly,Australia,90
1971-11,Alan Knott,England,151
1971-11,Alan Thomson,Australia,85
1971-11,Ashley Mallett,Australia,99
1971-11,Basil D'Oliveira,England,134
1971-11,Bill Lawry,Australia,147
1971-11,Doug Walters,Australia,229
1971-11,Graham McKenzie,Australia,95
1971-11,Greg Chappell,Australia,139
1971-11,Ian Chappell,Australia,242
1971-11,Ian Redpath,Australia,86
1971-11,John Edrich,England,246
1971-11,John Hampshire,England,65
1971-11,Keith Fletcher,England,134
1971-11,Keith Stackpole,Australia,94
1971-12,Alan Connolly,Australia,90
1971-12,Alan Knott,England,151
1971-12,Alan Thomson,Australia,85
1971-12,Ashley Mallett,Australia,99
1971-12,Basil D'Oliveira,England,134
1971-12,Bill Lawry,Australia,147
1971-12,Doug Walters,Australia,229
1971-12,Graham McKenzie,Australia,95
1971-12,Greg Chappell,Australia,139
1971-12,Ian Chappell,Australia,242
1971-12,Ian Redpath,Australia,86
1971-12,John Edrich,England,246
1971-12,John Hampshire,England,65
1971-12,Keith Fletcher,England,134
1971-12,Keith Stackpole,Australia,94
1972-01,Alan Connolly,Australia,90
1972-01,Alan Knott,England,151
1972-01,Alan Thomson,Australia,85
1972-01,Ashley Mallett,Australia,99
1972-01,Basil D'Oliveira,England,134
1972-01,Bill Lawry,Australia,147
1972-01,Doug Walters,Australia,229
1972-01,Graham McKenzie,Australia,95
1972-01,Greg Chappell,Australia,139
1972-01,Ian Chappell,Australia,242
1972-01,Ian Redpath,Australia,86
1972-01,John Edrich,England,246
1972-01,John Hampshire,England,65
1972-01,Keith Fletcher,England,134
1972-01,Keith Stackpole,Australia,94
1972-02,Alan Connolly,Australia,90
1972-02,Alan Knott,England,151
1972-02,Alan Thomson,Australia,85
1972-02,Ashley Mallett,Australia,99
1972-02,Basil D'Oliveira,England,134
1972-02,Bill Lawry,Australia,147
1972-02,Doug Walters,Australia,229
1972-02,Graham McKenzie,Australia,95
1972-02,Greg Chappell,Australia,139
1972-02,Ian Chappell,Australia,242
1972-02,Ian Redpath,Australia,86
1972-02,John Edrich,England,246
1972-02,John Hampshire,England,65
1972-02,Keith Fletcher,England,134
1972-02,Keith Stackpole,Australia,94
1972-03,Alan Connolly,Australia,90
1972-03,Alan Knott,England,151
1972-03,Alan Thomson,Australia,85
1972-03,Ashley Mallett,Australia,99
1972-03,Basil D'Oliveira,England,134
1972-03,Bill Lawry,Australia,147
1972-03,Doug Walters,Australia,229
1972-03,Graham McKenzie,Australia,95
1972-03,Greg Chappell,Australia,139
1972-03,Ian Chappell,Australia,242
1972-03,Ian Redpath,Australia,86
1972-03,John Edrich,England,246
1972-03,John Hampshire,England,65
1972-03,Keith Fletcher,England,134
1972-03,Keith Stackpole,Australia,94
1972-04,Alan Connolly,Australia,90
1972-04,Alan Knott,England,151
1972-04,Alan Thomson,Australia,85
1972-04,Ashley Mallett,Australia,99
1972-04,Basil D'Oliveira,England,134
1972-04,Bill Lawry,Australia,147
1972-04,Doug Walters,Australia,229
1972-04,Graham McKenzie,Australia,95
1972-04,Greg Chappell,Australia,139
1972-04,Ian Chappell,Australia,242
1972-04,Ian Redpath,Australia,86
1972-04,John Edrich,England,246
1972-04,John Hampshire,England,65
1972-04,Keith Fletcher,England,134
1972-04,Keith Stackpole,Australia,94
1972-05,Alan Connolly,Australia,90
1972-05,Alan Knott,England,151
1972-05,Alan Thomson,Australia,85
1972-05,Ashley Mallett,Australia,99
1972-05,Basil D'Oliveira,England,134
1972-05,Bill Lawry,Australia,147
1972-05,Doug Walters,Australia,229
1972-05,Graham McKenzie,Australia,95
1972-05,Greg Chappell,Australia,139
1972-05,Ian Chappell,Australia,242
1972-05,Ian Redpath,Australia,86
1972-05,John Edrich,England,246
1972-05,John Hampshire,England,65
1972-05,Keith Fletcher,England,134
1972-05,Keith Stackpole,Australia,94
1972-06,Alan Connolly,Australia,90
1972-06,Alan Knott,England,151
1972-06,Alan Thomson,Australia,85
1972-06,Ashley Mallett,Australia,99
1972-06,Basil D'Oliveira,England,134
1972-06,Bill Lawry,Australia,147
1972-06,Doug Walters,Australia,229
1972-06,Graham McKenzie,Australia,95
1972-06,Greg Chappell,Australia,139
1972-06,Ian Chappell,Australia,242
1972-06,Ian Redpath,Australia,86
1972-06,John Edrich,England,246
1972-06,John Hampshire,England,65
1972-06,Keith Fletcher,England,134
1972-06,Keith Stackpole,Australia,94
1972-07,Alan Connolly,Australia,90
1972-07,Alan Knott,England,151
1972-07,Alan Thomson,Australia,85
1972-07,Ashley Mallett,Australia,99
1972-07,Basil D'Oliveira,England,134
1972-07,Bill Lawry,Australia,147
1972-07,Doug Walters,Australia,229
1972-07,Graham McKenzie,Australia,95
1972-07,Greg Chappell,Australia,139
1972-07,Ian Chappell,Australia,242
1972-07,Ian Redpath,Australia,86
1972-07,John Edrich,England,246
1972-07,John Hampshire,England,65
1972-07,Keith Fletcher,England,134
1972-07,Keith Stackpole,Australia,94
1972-08,Alan Connolly,Australia,90
1972-08,Alan Knott,England,151
1972-08,Alan Thomson,Australia,85
1972-08,Ashley Mallett,Australia,99
1972-08,Basil D'Oliveira,England,134
1972-08,Bill Lawry,Australia,147
1972-08,Doug Walters,Australia,229
1972-08,Graham McKenzie,Australia,95
1972-08,Greg Chappell,Australia,139
1972-08,Ian Chappell,Australia,242
1972-08,Ian Redpath,Australia,86
1972-08,John Edrich,England,246
1972-08,John Hampshire,England,65
1972-08,Keith Fletcher,England,134
1972-08,Keith Stackpole,Australia,94
1972-09,Alan Knott,England,226
1972-09,Barry Wood,England,138
1972-09,Bob Massie,Australia,120
1972-09,Brian Close,England,183
1972-09,Dennis Amiss,England,354
1972-09,Doug Walters,Australia,202
1972-09,Geoff Boycott,England,211
1972-09,Greg Chappell,Australia,288
1972-09,Ian Chappell,Australia,319
1972-09,John Edrich,England,242
1972-09,Keith Fletcher,England,322
1972-09,Keith Stackpole,Australia,371
1972-09,Paul Sheahan,Australia,216
1972-09,Ross Edwards,Australia,195
1972-09,Tony Greig,England,194
1972-10,Alan Knott,England,226
1972-10,Barry Wood,England,138
1972-10,Bob Massie,Australia,120
1972-10,Brian Close,England,183
1972-10,Dennis Amiss,England,354
1972-10,Doug Walters,Australia,202
1972-10,Geoff Boycott,England,211
1972-10,Greg Chappell,Australia,288
1972-10,Ian Chappell,Australia,319
1972-10,John Edrich,England,242
1972-10,Keith Fletcher,England,322
1972-10,Keith Stackpole,Australia,371
1972-10,Paul Sheahan,Australia,216
1972-10,Ross Edwards,Australia,195
1972-10,Tony Greig,England,194
1972-11,Alan Knott,England,226
1972-11,Barry Wood,England,138
1972-11,Bob Massie,Australia,120
1972-11,Brian Close,England,183
1972-11,Dennis Amiss,England,354
1972-11,Doug Walters,Australia,202
1972-11,Geoff Boycott,England,211
1972-11,Greg Chappell,Australia,288
1972-11,Ian Chappell,Australia,319
1972-11,John Edrich,England,242
1972-11,Keith Fletcher,England,322
1972-11,Keith Stackpole,Australia,371
1972-11,Paul Sheahan,Australia,216
1972-11,Ross Edwards,Australia,195
1972-11,Tony Greig,England,194
1972-12,Alan Knott,England,226
1972-12,Barry Wood,England,138
1972-12,Bob Massie,Australia,120
1972-12,Brian Close,England,183
1972-12,Dennis Amiss,England,354
1972-12,Doug Walters,Australia,202
1972-12,Geoff Boycott,England,211
1972-12,Greg Chappell,Australia,288
1972-12,Ian Chappell,Australia,319
1972-12,John Edrich,England,242
1972-12,Keith Fletcher,England,322
1972-12,Keith Stackpole,Australia,371
1972-12,Paul Sheahan,Australia,216
1972-12,Ross Edwards,Australia,195
1972-12,Tony Greig,England,194
1973-01,Alan Knott,England,226
1973-01,Barry Wood,England,138
1973-01,Bob Massie,Australia,120
1973-01,Brian Close,England,183
1973-01,Dennis Amiss,England,354
1973-01,Doug Walters,Australia,202
1973-01,Geoff Boycott,England,211
1973-01,Greg Chappell,Australia,288
1973-01,Ian Chappell,Australia,319
1973-01,John Edrich,England,242
1973-01,Keith Fletcher,England,322
1973-01,Keith Stackpole,Australia,371
1973-01,Paul Sheahan,Australia,216
1973-01,Ross Edwards,Australia,195
1973-01,Tony Greig,England,194
1973-02,Alan Knott,England,226
1973-02,Barry Wood,England,138
1973-02,Bob Massie,Australia,120
1973-02,Brian Close,England,183
1973-02,Dennis Amiss,England,354
1973-02,Doug Walters,Australia,202
1973-02,Geoff Boycott,England,211
1973-02,Greg Chappell,Australia,288
1973-02,Ian Chappell,Australia,319
1973-02,John Edrich,England,242
1973-02,Keith Fletcher,England,322
1973-02,Keith Stackpole,Australia,371
1973-02,Paul Sheahan,Australia,216
1973-02,Ross Edwards,Australia,195
1973-02,Tony Greig,England,194
1973-03,Alan Knott,England,226
1973-03,Dennis Amiss,England,354
1973-03,Doug Walters,Australia,202
1973-03,Geoff Boycott,England,211
1973-03,Greg Chappell,Australia,288
1973-03,Ian Chappell,Australia,319
1973-03,John Edrich,England,242
1973-03,Keith Fletcher,England,322
1973-03,Keith Stackpole,Australia,371
1973-03,Ken Wadsworth,New Zealand,180
1973-03,Mark Burgess,New Zealand,242
1973-03,Mushtaq Muhammad,Pakistan,158
1973-03,Ross Edwards,Australia,195
1973-03,Sadiq Mohammad,Pakistan,219
1973-03,Tony Greig,England,194
1973-04,Alan Knott,England,226
1973-04,Dennis Amiss,England,354
1973-04,Doug Walters,Australia,202
1973-04,Geoff Boycott,England,211
1973-04,Greg Chappell,Australia,288
1973-04,Ian Chappell,Australia,319
1973-04,John Edrich,England,242
1973-04,Keith Fletcher,England,322
1973-04,Keith Stackpole,Australia,371
1973-04,Ken Wadsworth,New Zealand,180
1973-04,Mark Burgess,New Zealand,242
1973-04,Mushtaq Muhammad,Pakistan,158
1973-04,Ross Edwards,Australia,195
1973-04,Sadiq Mohammad,Pakistan,219
1973-04,Tony Greig,England,194
1973-05,Alan Knott,England,226
1973-05,Dennis Amiss,England,354
1973-05,Doug Walters,Australia,202
1973-05,Geoff Boycott,England,211
1973-05,Greg Chappell,Australia,288
1973-05,Ian Chappell,Australia,319
1973-05,John Edrich,England,242
1973-05,Keith Fletcher,England,322
1973-05,Keith Stackpole,Australia,371
1973-05,Ken Wadsworth,New Zealand,180
1973-05,Mark Burgess,New Zealand,242
1973-05,Mushtaq Muhammad,Pakistan,158
1973-05,Ross Edwards,Australia,195
1973-05,Sadiq Mohammad,Pakistan,219
1973-05,Tony Greig,England,194
1973-06,Alan Knott,England,226
1973-06,Dennis Amiss,England,354
1973-06,Doug Walters,Australia,202
1973-06,Geoff Boycott,England,211
1973-06,Greg Chappell,Australia,288
1973-06,Ian Chappell,Australia,319
1973-06,John Edrich,England,242
1973-06,Keith Fletcher,England,322
1973-06,Keith Stackpole,Australia,371
1973-06,Ken Wadsworth,New Zealand,180
1973-06,Mark Burgess,New Zealand,242
1973-06,Mushtaq Muhammad,Pakistan,158
1973-06,Ross Edwards,Australia,195
1973-06,Sadiq Mohammad,Pakistan,219
1973-06,Tony Greig,England,194
1973-07,Alan Knott,England,226
1973-07,Dennis Amiss,England,354
1973-07,Doug Walters,Australia,202
1973-07,Geoff Boycott,England,211
1973-07,Greg Chappell,Australia,288
1973-07,Ian Chappell,Australia,319
1973-07,John Edrich,England,242
1973-07,Keith Fletcher,England,322
1973-07,Keith Stackpole,Australia,371
1973-07,Ken Wadsworth,New Zealand,180
1973-07,Mark Burgess,New Zealand,242
1973-07,Mushtaq Muhammad,Pakistan,158
1973-07,Ross Edwards,Australia,195
1973-07,Sadiq Mohammad,Pakistan,219
1973-07,Tony Greig,England,194
1973-08,Alan Knott,England,247
1973-08,Dennis Amiss,England,470
1973-08,Doug Walters,Australia,202
1973-08,Geoff Boycott,England,252
1973-08,Greg Chappell,Australia,288
1973-08,Ian Chappell,Australia,319
1973-08,John Edrich,England,240
1973-08,Keith Fletcher,England,383
1973-08,Keith Stackpole,Australia,371
1973-08,Mark Burgess,New Zealand,195
1973-08,Richard Hadlee,New Zealand,204
1973-08,Ross Edwards,Australia,195
1973-08,Sadiq Mohammad,Pakistan,219
1973-08,Tony Greig,England,218
1973-08,Vic Pollard,New Zealand,229
1973-09,Alan Knott,England,247
1973-09,Dennis Amiss,England,470
1973-09,Doug Walters,Australia,202
1973-09,Geoff Boycott,England,252
1973-09,Greg Chappell,Australia,288
1973-09,Ian Chappell,Australia,319
1973-09,John Edrich,England,240
1973-09,Keith Fletcher,England,383
1973-09,Keith Stackpole,Australia,371
1973-09,Mark Burgess,New Zealand,195
1973-09,Richard Hadlee,New Zealand,204
1973-09,Ross Edwards,Australia,195
1973-09,Sadiq Mohammad,Pakistan,219
1973-09,Tony Greig,England,218
1973-09,Vic Pollard,New Zealand,229
1973-10,Alan Knott,England,245
1973-10,Alvin Kallicharran,West Indies,270
1973-10,Dennis Amiss,England,465
1973-10,Geoff Boycott,England,231
1973-10,Greg Chappell,Australia,288
1973-10,Ian Chappell,Australia,319
1973-10,John Edrich,England,238
1973-10,Keith Fletcher,England,452
1973-10,Keith Stackpole,Australia,371
1973-10,Mike Denness,England,256
1973-10,Rohan Kanhai,West Indies,237
1973-10,Roy Fredericks,West Indies,300
1973-10,Sadiq Mohammad,Pakistan,219
1973-10,Tony Greig,England,331
1973-10,Vic Pollard,New Zealand,229
1973-11,Alan Knott,England,245
1973-11,Alvin Kallicharran,West Indies,270
1973-11,Dennis Amiss,England,465
1973-11,Geoff Boycott,England,231
1973-11,Greg Chappell,Australia,288
1973-11,Ian Chappell,Australia,319
1973-11,John Edrich,England,238
1973-11,Keith Fletcher,England,452
1973-11,Keith Stackpole,Australia,371
1973-11,Mike Denness,England,256
1973-11,Rohan Kanhai,West Indies,237
1973-11,Roy Fredericks,West Indies,300
1973-11,Sadiq Mohammad,Pakistan,219
1973-11,Tony Greig,England,331
1973-11,Vic Pollard,New Zealand,229
1973-12,Alan Knott,England,245
1973-12,Alvin Kallicharran,West Indies,270
1973-12,Dennis Amiss,England,465
1973-12,Geoff Boycott,England,231
1973-12,Greg Chappell,Australia,288
1973-12,Ian Chappell,Australia,319
1973-12,John Edrich,England,238
1973-12,Keith Fletcher,England,452
1973-12,Keith Stackpole,Australia,371
1973-12,Mike Denness,England,256
1973-12,Rohan Kanhai,West Indies,237
1973-12,Roy Fredericks,West Indies,300
1973-12,Sadiq Mohammad,Pakistan,219
1973-12,Tony Greig,England,331
1973-12,Vic Pollard,New Zealand,229
1974-01,Alan Knott,England,245
1974-01,Alvin Kallicharran,West Indies,270
1974-01,Dennis Amiss,England,465
1974-01,Geoff Boycott,England,231
1974-01,Greg Chappell,Australia,288
1974-01,Ian Chappell,Australia,319
1974-01,John Edrich,England,238
1974-01,Keith Fletcher,England,452
1974-01,Keith Stackpole,Australia,371
1974-01,Mike Denness,England,256
1974-01,Rohan Kanhai,West Indies,237
1974-01,Roy Fredericks,West Indies,300
1974-01,Sadiq Mohammad,Pakistan,219
1974-01,Tony Greig,England,331
1974-01,Vic Pollard,New Zealand,229
1974-02,Alan Knott,England,245
1974-02,Alvin Kallicharran,West Indies,270
1974-02,Dennis Amiss,England,465
1974-02,Geoff Boycott,England,231
1974-02,Greg Chappell,Australia,288
1974-02,Ian Chappell,Australia,319
1974-02,John Edrich,England,238
1974-02,Keith Fletcher,England,452
1974-02,Keith Stackpole,Australia,371
1974-02,Mike Denness,England,256
1974-02,Rohan Kanhai,West Indies,237
1974-02,Roy Fredericks,West Indies,300
1974-02,Sadiq Mohammad,Pakistan,219
1974-02,Tony Greig,England,331
1974-02,Vic Pollard,New Zealand,229
1974-03,Alan Knott,England,245
1974-03,Alvin Kallicharran,West Indies,270
1974-03,Dennis Amiss,England,465
1974-03,Geoff Boycott,England,231
1974-03,Greg Chappell,Australia,288
1974-03,Ian Chappell,Australia,319
1974-03,John Edrich,England,238
1974-03,Keith Fletcher,England,452
1974-03,Keith Stackpole,Australia,371
1974-03,Mike Denness,England,256
1974-03,Rohan Kanhai,West Indies,237
1974-03,Roy Fredericks,West Indies,300
1974-03,Sadiq Mohammad,Pakistan,219
1974-03,Tony Greig,England,331
1974-03,Vic Pollard,New Zealand,229
1974-04,Alan Knott,England,245
1974-04,Alvin Kallicharran,West Indies,270
1974-04,Bevan Congdon,New Zealand,282
1974-04,Dennis Amiss,England,465
1974-04,Geoff Boycott,England,231
1974-04,Greg Chappell,Australia,444
1974-04,Ian Chappell,Australia,502
1974-04,John Edrich,England,238
1974-04,Keith Fletcher,England,452
1974-04,Keith Stackpole,Australia,411
1974-04,Ken Wadsworth,New Zealand,318
1974-04,Mike Denness,England,256
1974-04,Rohan Kanhai,West Indies,237
1974-04,Roy Fredericks,West Indies,300
1974-04,Tony Greig,England,331
1974-05,Alan Knott,England,245
1974-05,Alvin Kallicharran,West Indies,270
1974-05,Bevan Congdon,New Zealand,282
1974-05,Dennis Amiss,England,465
1974-05,Geoff Boycott,England,231
1974-05,Greg Chappell,Australia,444
1974-05,Ian Chappell,Australia,502
1974-05,John Edrich,England,238
1974-05,Keith Fletcher,England,452
1974-05,Keith Stackpole,Australia,411
1974-05,Ken Wadsworth,New Zealand,318
1974-05,Mike Denness,England,256
1974-05,Rohan Kanhai,West Indies,237
1974-05,Roy Fredericks,West Indies,300
1974-05,Tony Greig,England,331
1974-06,Alan Knott,England,245
1974-06,Alvin Kallicharran,West Indies,270
1974-06,Bevan Congdon,New Zealand,282
1974-06,Dennis Amiss,England,465
1974-06,Geoff Boycott,England,231
1974-06,Greg Chappell,Australia,444
1974-06,Ian Chappell,Australia,502
1974-06,John Edrich,England,238
1974-06,Keith Fletcher,England,452
1974-06,Keith Stackpole,Australia,411
1974-06,Ken Wadsworth,New Zealand,318
1974-06,Mike Denness,England,256
1974-06,Rohan Kanhai,West Indies,237
1974-06,Roy Fredericks,West Indies,300
1974-06,Tony Greig,England,331
1974-07,Alan Knott,England,245
1974-07,Alvin Kallicharran,West Indies,270
1974-07,Bevan Congdon,New Zealand,282
1974-07,Dennis Amiss,England,465
1974-07,Geoff Boycott,England,231
1974-07,Greg Chappell,Australia,444
1974-07,Ian Chappell,Australia,502
1974-07,John Edrich,England,238
1974-07,Keith Fletcher,England,452
1974-07,Keith Stackpole,Australia,411
1974-07,Ken Wadsworth,New Zealand,318
1974-07,Mike Denness,England,256
1974-07,Rohan Kanhai,West Indies,237
1974-07,Roy Fredericks,West Indies,300
1974-07,Tony Greig,England,331
1974-08,Ajit Wadekar,India,238
1974-08,Alan Knott,England,276
1974-08,Alvin Kallicharran,West Indies,270
1974-08,Ashok Mankad,India,242
1974-08,Bevan Congdon,New Zealand,282
1974-08,Brijesh Patel,India,290
1974-08,Dennis Amiss,England,480
1974-08,Greg Chappell,Australia,444
1974-08,Ian Chappell,Australia,502
1974-08,John Edrich,England,342
1974-08,Keith Fletcher,England,553
1974-08,Ken Wadsworth,New Zealand,318
1974-08,Mike Denness,England,269
1974-08,Roy Fredericks,West Indies,300
1974-08,Tony Greig,England,408
1974-09,Alan Knott,England,274
1974-09,Alvin Kallicharran,West Indies,270
1974-09,Bevan Congdon,New Zealand,282
1974-09,Brijesh Patel,India,290
1974-09,David Lloyd,England,362
1974-09,Dennis Amiss,England,477
1974-09,Greg Chappell,Australia,444
1974-09,Ian Chappell,Australia,502
1974-09,John Edrich,England,358
1974-09,Keith Fletcher,England,550
1974-09,Ken Wadsworth,New Zealand,318
1974-09,Majid Khan,Pakistan,299
1974-09,Mike Denness,England,301
1974-09,Roy Fredericks,West Indies,300
1974-09,Tony Greig,England,430
1974-10,Alan Knott,England,273
1974-10,Bevan Congdon,New Zealand,282
1974-10,Brijesh Patel,India,290
1974-10,David Lloyd,England,348
1974-10,Dennis Amiss,England,475
1974-10,Greg Chappell,Australia,444
1974-10,Ian Chappell,Australia,502
1974-10,John Edrich,England,348
1974-10,Keith Fletcher,England,517
1974-10,Ken Wadsworth,New Zealand,318
1974-10,Majid Khan,Pakistan,326
1974-10,Mike Denness,England,294
1974-10,Roy Fredericks,West Indies,300
1974-10,Tony Greig,England,422
1974-10,Zaheer Abbas,Pakistan,298
1974-11,Alan Knott,England,273
1974-11,Bevan Congdon,New Zealand,282
1974-11,Brijesh Patel,India,290
1974-11,David Lloyd,England,348
1974-11,Dennis Amiss,England,475
1974-11,Greg Chappell,Australia,444
1974-11,Ian Chappell,Australia,502
1974-11,John Edrich,England,348
1974-11,Keith Fletcher,England,517
1974-11,Ken Wadsworth,New Zealand,318
1974-11,Majid Khan,Pakistan,326
1974-11,Mike Denness,England,294
1974-11,Roy Fredericks,West Indies,300
1974-11,Tony Greig,England,422
1974-11,Zaheer Abbas,Pakistan,298
1974-12,Alan Knott,England,273
1974-12,Bevan Congdon,New Zealand,282
1974-12,Brijesh Patel,India,290
1974-12,David Lloyd,England,348
1974-12,Dennis Amiss,England,475
1974-12,Greg Chappell,Australia,444
1974-12,Ian Chappell,Australia,502
1974-12,John Edrich,England,348
1974-12,Keith Fletcher,England,517
1974-12,Ken Wadsworth,New Zealand,318
1974-12,Majid Khan,Pakistan,326
1974-12,Mike Denness,England,294
1974-12,Roy Fredericks,West Indies,300
1974-12,Tony Greig,England,422
1974-12,Zaheer Abbas,Pakistan,298
1975-01,Alan Knott,England,289
1975-01,Bevan Congdon,New Zealand,282
1975-01,Brijesh Patel,India,290
1975-01,David Lloyd,England,402
1975-01,Dennis Amiss,England,516
1975-01,Greg Chappell,Australia,494
1975-01,Ian Chappell,Australia,538
1975-01,John Edrich,England,346
1975-01,Keith Fletcher,England,522
1975-01,Ken Wadsworth,New Zealand,318
1975-01,Majid Khan,Pakistan,326
1975-01,Mike Denness,England,298
1975-01,Roy Fredericks,West Indies,300
1975-01,Tony Greig,England,422
1975-01,Zaheer Abbas,Pakistan,298
1975-02,Alan Knott,England,289
1975-02,Bevan Congdon,New Zealand,282
1975-02,Brijesh Patel,India,290
1975-02,David Lloyd,England,402
1975-02,Dennis Amiss,England,516
1975-02,Greg Chappell,Australia,494
1975-02,Ian Chappell,Australia,538
1975-02,John Edrich,England,346
1975-02,Keith Fletcher,England,522
1975-02,Ken Wadsworth,New Zealand,318
1975-02,Majid Khan,Pakistan,326
1975-02,Mike Denness,England,298
1975-02,Roy Fredericks,West Indies,300
1975-02,Tony Greig,England,422
1975-02,Zaheer Abbas,Pakistan,298
1975-03,Alan Knott,England,289
1975-03,Bevan Congdon,New Zealand,282
1975-03,Brijesh Patel,India,290
1975-03,David Lloyd,England,402
1975-03,Dennis Amiss,England,516
1975-03,Greg Chappell,Australia,494
1975-03,Ian Chappell,Australia,538
1975-03,John Edrich,England,346
1975-03,Keith Fletcher,England,522
1975-03,Ken Wadsworth,New Zealand,318
1975-03,Majid Khan,Pakistan,326
1975-03,Mike Denness,England,298
1975-03,Roy Fredericks,West Indies,300
1975-03,Tony Greig,England,422
1975-03,Zaheer Abbas,Pakistan,298
1975-04,Alan Knott,England,286
